Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
IGI Airport,Chanakyapuri,3,2,1,1713.0,25.57,856.5,66.67,33.33
Gwal Pahari,Punjabi Bagh,3,3,0,1484.0,31.74,494.67,100.0,0.0
Gwal Pahari,Rohini West,3,1,2,442.0,39.42,442.0,33.33,66.67
Gwal Pahari,Saidulajab,3,2,1,754.0,21.5,377.0,66.67,33.33
Gwal Pahari,India Gate,3,3,0,1075.0,14.43,358.33,100.0,0.0
IGI Airport,Pragati Maidan,3,3,0,389.0,30.01,129.67,100.0,0.0
Gurgaon Sector 56,Vidhan Sabha,3,1,1,114.0,18.73,84.0,33.33,33.33
Gwal Pahari,Delhi Gate,3,1,2,473.0,38.72,473.0,33.33,66.67
IGNOU Road,INA Market,3,2,0,930.0,24.83,353.33,66.67,0.0
Gwal Pahari,AIIMS,3,3,0,2117.0,31.72,705.67,100.0,0.0
Gwal Pahari,Ambience Mall,3,1,1,332.0,16.07,555.0,33.33,33.33
Gwal Pahari,Ashok Vihar,3,2,0,959.0,36.06,479.5,66.67,0.0
IGNOU Road,Ghitorni,3,1,1,340.0,25.39,901.5,33.33,33.33
Gwal Pahari,Azadpur,3,2,0,478.0,25.22,239.0,66.67,0.0
IGNOU Road,GTB Nagar,3,2,1,1650.0,25.13,825.0,66.67,33.33
IGNOU Road,Dwarka Mor,3,2,1,1452.0,12.06,726.0,66.67,33.33
Gwal Pahari,Chhatarpur,3,2,0,1758.0,18.58,879.0,66.67,0.0
Gwal Pahari,Chirag Delhi,3,2,1,748.0,14.66,374.0,66.67,33.33
IGNOU Road,Chirag Delhi,3,1,2,387.0,11.9,387.0,33.33,66.67
Gwal Pahari,Civil Lines Gurgaon,3,2,1,1322.0,34.05,661.0,66.67,33.33
Gwal Pahari,Dwarka Mor,3,3,0,909.0,39.03,303.0,100.0,0.0
IGI Airport,Qutub Minar,3,2,0,1559.0,45.44,779.5,66.67,0.0
IGNOU Road,Ashok Vihar,3,0,0,0.0,9.09,560.0,0.0,0.0
IGNOU Road,Ashok Park Main,3,1,2,617.0,14.96,617.0,33.33,66.67
IGNOU Road,Arjangarh,3,3,0,2169.0,23.34,723.0,100.0,0.0
IGNOU Road,Ardee City,3,2,1,949.0,28.66,474.5,66.67,33.33
IGNOU Road,Anand Vihar,3,2,0,1470.0,33.24,735.0,66.67,0.0
Gwal Pahari,Green Park,3,3,0,1366.0,32.66,455.33,100.0,0.0
IGI Airport,Tis Hazari,3,1,1,735.0,28.33,598.5,33.33,33.33
Gwal Pahari,Gurgaon Sector 29,3,1,2,969.0,34.36,969.0,33.33,66.67
IGI Airport,Saket A Block,3,1,2,766.0,45.99,766.0,33.33,66.67
Gwal Pahari,Gurgaon Sector 56,3,2,1,763.0,21.0,381.5,66.67,33.33
Gwal Pahari,Hauz Khas,3,2,1,689.0,24.78,344.5,66.67,33.33
IGI Airport,RK Puram,3,3,0,1376.0,19.41,458.67,100.0,0.0
Indraprastha,ITO,3,2,1,907.0,32.75,453.5,66.67,33.33
Indraprastha,India Gate,3,3,0,915.0,33.43,305.0,100.0,0.0
Greater Kailash,Punjabi Bagh,3,1,2,1115.0,22.41,1115.0,33.33,66.67
Kadarpur,Seelampur,3,2,0,792.0,23.8,368.33,66.67,0.0
Ghitorni,Aya Nagar,3,3,0,951.0,24.64,317.0,100.0,0.0
Ghitorni,Badarpur,3,2,1,1117.0,33.61,558.5,66.67,33.33
Kalkaji,INA Market,3,0,2,0.0,9.12,891.0,0.0,66.67
Ghitorni,Bhikaji Cama Place,3,2,1,373.0,14.74,186.5,66.67,33.33
Kalkaji,IGI Airport,3,1,1,344.0,18.15,342.0,33.33,33.33
Ghitorni,Central Secretariat,3,1,0,294.0,21.14,271.0,33.33,0.0
Ghitorni,DLF Phase 3,3,2,0,1040.0,28.4,520.0,66.67,0.0
Ghitorni,Govindpuri,3,3,0,1701.0,13.64,567.0,100.0,0.0
Kalkaji,Gurgaon Sector 56,3,0,3,0.0,,,0.0,100.0
Kalkaji,Greater Kailash,3,2,1,627.0,14.78,313.5,66.67,33.33
Ghitorni,Greater Noida,3,0,2,0.0,12.15,254.0,0.0,66.67
Ghitorni,Gurgaon Sector 29,3,3,0,812.0,27.76,270.67,100.0,0.0
Ghitorni,Hero Honda Chowk,3,1,2,79.0,14.25,79.0,33.33,66.67
Kalkaji,DLF City Court,3,1,2,374.0,29.02,374.0,33.33,66.67
Ghitorni,IGNOU Road,3,2,0,746.0,40.89,373.0,66.67,0.0
Ghitorni,Indirapuram,3,2,1,2181.0,21.5,1090.5,66.67,33.33
Kalkaji,Bhikaji Cama Place,3,3,0,2374.0,17.95,791.33,100.0,0.0
Kalkaji,Badarpur,3,2,1,441.0,40.86,220.5,66.67,33.33
Kalkaji,Aya Nagar,3,3,0,1616.0,31.55,538.67,100.0,0.0
Ghitorni,Jor Bagh,3,3,0,982.0,18.37,327.33,100.0,0.0
Kalkaji,Arjangarh,3,2,1,851.0,43.9,425.5,66.67,33.33
Ghitorni,Kalkaji,3,1,1,158.0,23.55,158.0,33.33,33.33
Ghitorni,Madipur,3,1,2,53.0,19.16,53.0,33.33,66.67
Kalkaji,AIIMS,3,1,2,167.0,35.08,167.0,33.33,66.67
Kadarpur,Vinobapuri,3,1,1,220.0,32.46,158.5,33.33,33.33
Kadarpur,Vatika Chowk,3,2,1,1100.0,36.22,550.0,66.67,33.33
Ghitorni,Nirman Vihar,3,2,0,1054.0,32.18,527.0,66.67,0.0
Kalkaji,Jama Masjid,3,3,0,1271.0,35.76,423.67,100.0,0.0
Kalkaji,Janakpuri,3,1,2,155.0,11.08,155.0,33.33,66.67
Kalkaji,Jasola,3,3,0,1076.0,10.23,358.67,100.0,0.0
Kalkaji,Rajiv Chowk,3,2,0,967.0,25.46,483.5,66.67,0.0
Kanhaiya Nagar,Anand Vihar,3,2,1,927.0,7.6,463.5,66.67,33.33
Kanhaiya Nagar,Adarsh Nagar,3,0,2,0.0,4.68,718.0,0.0,66.67
Ghaziabad,Preet Vihar,3,1,1,856.0,29.35,630.0,33.33,33.33
Ghaziabad,Qutub Minar,3,3,0,1654.0,19.66,551.33,100.0,0.0
Ghaziabad,Raj Nagar Extension,3,1,1,315.0,11.28,367.0,33.33,33.33
Ghaziabad,Sadar Bazar Gurgaon,3,1,1,132.0,3.42,132.0,33.33,33.33
Kalkaji,Subhash Chowk,3,2,0,795.0,10.64,397.5,66.67,0.0
Ghaziabad,Shahdara,3,1,2,969.0,21.27,969.0,33.33,66.67
Kalkaji,Sarai Kale Khan,3,2,1,429.0,23.23,214.5,66.67,33.33
Kalkaji,Rohini East,3,1,1,272.0,40.48,272.0,33.33,33.33
Kalkaji,Ramesh Nagar,3,1,1,210.0,10.74,262.0,33.33,33.33
Kalkaji,Rajouri Garden,3,2,1,1451.0,16.53,725.5,66.67,33.33
Ghaziabad,Tilak Nagar,3,3,0,735.0,32.6,245.0,100.0,0.0
Kalkaji,Jhilmil,3,2,0,705.0,27.7,352.5,66.67,0.0
Ghaziabad,Tughlakabad,3,0,2,0.0,,,0.0,66.67
Kalkaji,Pragati Maidan,3,2,0,591.0,24.34,270.0,66.67,0.0
Kalkaji,Panchsheel Park,3,2,1,1598.0,32.22,799.0,66.67,33.33
Kalkaji,Noida Extension,3,3,0,3079.0,19.69,1026.33,100.0,0.0
Kalkaji,Narsinghpur,3,2,1,1408.0,38.89,704.0,66.67,33.33
Kalkaji,Moolchand,3,1,0,798.0,13.23,414.67,33.33,0.0
Ghitorni,Anand Vihar,3,2,0,759.0,10.97,552.67,66.67,0.0
Kalkaji,Mandi House,3,3,0,1781.0,28.36,593.67,100.0,0.0
Ghitorni,Arjangarh,3,1,1,234.0,39.33,234.0,33.33,33.33
Kalkaji,Lal Quila,3,3,0,1964.0,22.03,654.67,100.0,0.0
Kalkaji,Kashmere Gate,3,2,0,1469.0,11.58,603.0,66.67,0.0
Ghitorni,Ashok Vihar,3,0,3,0.0,,,0.0,100.0
Ghitorni,Noida Extension,3,2,0,684.0,46.46,342.0,66.67,0.0
Kadarpur,Sarai Kale Khan,3,3,0,1602.0,15.66,534.0,100.0,0.0
Ghitorni Village,Nawada,3,3,0,950.0,24.47,316.67,100.0,0.0
Kadarpur,Ramesh Nagar,3,2,1,1640.0,33.18,820.0,66.67,33.33
Ghitorni Village,Dwarka Sector 21,3,0,1,0.0,8.68,1171.0,0.0,33.33
Kadarpur,Chhatarpur,3,1,0,88.0,19.06,443.0,33.33,0.0
Kadarpur,Central Secretariat,3,1,0,212.0,22.08,162.5,33.33,0.0
Kadarpur,Bhiwadi,3,3,0,624.0,22.24,208.0,100.0,0.0
Ghitorni Village,Ghitorni,3,1,2,575.0,31.8,575.0,33.33,66.67
Ghitorni Village,Govindpuri,3,2,0,429.0,22.03,264.67,66.67,0.0
Kadarpur,Anand Vihar,3,3,0,1626.0,31.96,542.0,100.0,0.0
Kadarpur,AIIMS,3,2,1,1142.0,29.94,571.0,66.67,33.33
Jor Bagh,Vinobapuri,3,2,1,308.0,27.94,154.0,66.67,33.33
Ghitorni Village,IGI Airport,3,1,2,224.0,8.76,224.0,33.33,66.67
Jor Bagh,Tagore Garden,3,1,2,547.0,3.55,547.0,33.33,66.67
Jor Bagh,South Extension,3,1,1,626.0,25.44,626.0,33.33,33.33
Jor Bagh,Seelampur,3,2,1,591.0,14.02,295.5,66.67,33.33
Jor Bagh,Sarojini Nagar,3,2,0,1265.0,23.51,501.0,66.67,0.0
Jor Bagh,Rajiv Chowk,3,3,0,1826.0,19.75,608.67,100.0,0.0
Jor Bagh,Patel Chowk,3,1,2,283.0,36.25,283.0,33.33,66.67
Jor Bagh,Paharganj,3,2,0,1061.0,8.84,530.5,66.67,0.0
Ghitorni Village,Kadarpur,3,2,1,680.0,22.57,340.0,66.67,33.33
Jor Bagh,Noida Sector 18,3,3,0,2737.0,18.83,912.33,100.0,0.0
Ghitorni Village,Kanhaiya Nagar,3,1,2,168.0,31.26,168.0,33.33,66.67
Jor Bagh,Moolchand,3,0,1,0.0,19.27,1648.0,0.0,33.33
Ghitorni Village,Karol Bagh,3,2,1,719.0,16.08,359.5,66.67,33.33
Ghitorni Village,Keshav Puram,3,2,0,335.0,22.34,167.5,66.67,0.0
Jor Bagh,Malviya Nagar,3,3,0,1067.0,29.35,355.67,100.0,0.0
Jor Bagh,Maidan Garhi,3,3,0,951.0,22.77,317.0,100.0,0.0
Ghitorni Village,Lajpat Nagar,3,1,2,293.0,19.36,293.0,33.33,66.67
Ghitorni Village,Malviya Nagar,3,2,1,719.0,5.07,359.5,66.67,33.33
Ghitorni Village,Dilshad Garden,3,2,1,1177.0,25.41,588.5,66.67,33.33
Kadarpur,Gurgaon Sector 56,3,1,2,1147.0,33.76,1147.0,33.33,66.67
Ghitorni Village,Barakhamba Road,3,1,0,135.0,13.09,135.0,33.33,0.0
Kadarpur,Noida Film City,3,2,0,1241.0,47.44,620.5,66.67,0.0
Kadarpur,Qutub Minar,3,2,0,960.0,16.47,791.67,66.67,0.0
Kadarpur,Pulbangash,3,1,1,101.0,23.7,218.5,33.33,33.33
Ghitorni,Pataudi Chowk,3,2,1,297.0,24.4,148.5,66.67,33.33
Ghitorni,Preet Vihar,3,2,1,570.0,42.58,285.0,66.67,33.33
Kadarpur,Peeragarhi,3,1,1,3292.0,7.03,3292.0,33.33,33.33
Ghitorni,Rajiv Chowk,3,2,1,869.0,15.23,434.5,66.67,33.33
Ghitorni,Sarai Kale Khan,3,1,1,1251.0,11.27,1251.0,33.33,33.33
Ghitorni,Satguru Ram Singh Marg,3,3,0,1888.0,40.46,629.33,100.0,0.0
Kadarpur,Panchsheel Park,3,2,1,732.0,27.08,366.0,66.67,33.33
Ghitorni,Sohna Road,3,3,0,1270.0,21.59,423.33,100.0,0.0
Ghitorni,Subhash Chowk,3,2,1,955.0,26.67,477.5,66.67,33.33
Ghitorni,Uttam Nagar,3,2,1,944.0,14.05,472.0,66.67,33.33
Kadarpur,Nirman Vihar,3,2,1,958.0,28.24,479.0,66.67,33.33
Kadarpur,Jasola,3,3,0,1195.0,22.34,398.33,100.0,0.0
Kadarpur,Netaji Subhash Place,3,2,0,842.0,40.12,421.0,66.67,0.0
Ghitorni,Vasant Kunj,3,2,1,1258.0,35.0,629.0,66.67,33.33
Ghitorni,Vidhan Sabha,3,1,1,643.0,23.7,515.0,33.33,33.33
Kadarpur,Moolchand,3,2,1,579.0,9.96,289.5,66.67,33.33
Ghitorni,Vinobapuri,3,2,1,789.0,31.07,394.5,66.67,33.33
Kadarpur,Malviya Nagar,3,2,0,1255.0,28.94,627.5,66.67,0.0
Kadarpur,MG Road,3,3,0,3455.0,43.71,1151.67,100.0,0.0
Ghitorni Village,Adarsh Nagar,3,2,0,415.0,14.02,210.33,66.67,0.0
Ghitorni Village,Anand Vihar ISBT,3,2,0,199.0,22.52,99.5,66.67,0.0
Kadarpur,Lajpat Nagar,3,3,0,982.0,22.5,327.33,100.0,0.0
Kadarpur,Kashmere Gate ISBT,3,2,1,796.0,31.03,398.0,66.67,33.33
Kadarpur,Kalkaji,3,2,0,1737.0,23.52,868.5,66.67,0.0
Kanhaiya Nagar,Ardee City,3,2,0,531.0,17.9,287.0,66.67,0.0
Kanhaiya Nagar,Arjangarh,3,2,1,751.0,28.16,375.5,66.67,33.33
Kanhaiya Nagar,Bhiwadi,3,1,2,920.0,34.46,920.0,33.33,66.67
Kanhaiya Nagar,Chandni Chowk,3,2,1,772.0,25.12,386.0,66.67,33.33
GTB Nagar,IGNOU Road,3,2,0,611.0,16.61,292.67,66.67,0.0
GTB Nagar,Inderlok,3,2,1,661.0,6.78,330.5,66.67,33.33
GTB Nagar,Jahangirpuri,3,1,2,948.0,45.66,948.0,33.33,66.67
GTB Nagar,Kanhaiya Nagar,3,2,1,3322.0,30.98,1661.0,66.67,33.33
GTB Nagar,Lajpat Nagar,3,3,0,1135.0,34.38,378.33,100.0,0.0
Karkarduma,Vasant Kunj,3,2,1,817.0,44.13,408.5,66.67,33.33
GTB Nagar,Manesar,3,3,0,2509.0,42.7,836.33,100.0,0.0
Karkarduma,Tughlakabad,3,0,2,0.0,,,0.0,66.67
Karkarduma,Tis Hazari,3,1,2,962.0,6.05,962.0,33.33,66.67
Karkarduma,Sultanpur,3,3,0,1203.0,14.91,401.0,100.0,0.0
Karkarduma,Sikanderpur,3,1,2,107.0,40.99,107.0,33.33,66.67
Karkarduma,Ramesh Nagar,3,2,0,1309.0,27.37,506.67,66.67,0.0
Karkarduma,Raj Nagar Extension,3,2,0,2078.0,16.76,833.67,66.67,0.0
Karkarduma,RK Puram,3,1,0,606.0,32.98,401.0,33.33,0.0
Karkarduma,Punjabi Bagh,3,1,0,777.0,10.21,516.0,33.33,0.0
Karkarduma,Panchsheel Park,3,1,1,465.0,30.3,310.0,33.33,33.33
Karkarduma,Munirka,3,2,0,827.0,29.14,413.5,66.67,0.0
Karkarduma,Meerut,3,1,1,259.0,21.88,238.5,33.33,33.33
GTB Nagar,Saidulajab,3,2,1,883.0,37.68,441.5,66.67,33.33
Karkarduma,Lok Kalyan Marg,3,2,1,1290.0,20.39,645.0,66.67,33.33
GTB Nagar,Seelampur,3,2,0,526.0,21.69,369.67,66.67,0.0
GTB Nagar,Shahdara,3,1,1,956.0,25.01,557.5,33.33,33.33
GTB Nagar,Sonipat,3,3,0,2381.0,18.75,793.67,100.0,0.0
Karkarduma,Lajpat Nagar,3,2,1,220.0,33.52,110.0,66.67,33.33
GTB Nagar,Subhash Chowk,3,1,2,1367.0,24.75,1367.0,33.33,66.67
GTB Nagar,Sushant Lok,3,2,1,1312.0,26.62,656.0,66.67,33.33
Karkarduma,Janakpuri,3,1,2,481.0,47.05,481.0,33.33,66.67
Karol Bagh,Azadpur,3,1,1,499.0,9.22,421.0,33.33,33.33
GTB Nagar,Gwal Pahari,3,3,0,1695.0,32.67,565.0,100.0,0.0
Karol Bagh,Bhiwadi,3,3,0,1749.0,35.23,583.0,100.0,0.0
GTB Nagar,Basai Dhankot,3,1,2,487.0,36.64,487.0,33.33,66.67
Karol Bagh,Saket,3,3,0,569.0,18.69,189.67,100.0,0.0
Karol Bagh,Rohini West,3,2,0,170.0,28.59,196.67,66.67,0.0
Karol Bagh,Rohini East,3,2,1,385.0,21.91,192.5,66.67,33.33
Faridabad Sector 15,Udyog Bhawan,3,1,2,177.0,7.97,177.0,33.33,66.67
Karol Bagh,Rithala,3,1,2,1483.0,27.71,1483.0,33.33,66.67
Faridabad Sector 15,Uttam Nagar,3,2,1,663.0,14.5,331.5,66.67,33.33
Karol Bagh,Rajiv Nagar,3,1,1,731.0,33.99,731.0,33.33,33.33
Karol Bagh,Paschim Vihar,3,3,0,1540.0,26.63,513.33,100.0,0.0
GTB Nagar,AIIMS,3,3,0,1418.0,38.38,472.67,100.0,0.0
Karol Bagh,Noida Sector 18,3,2,1,516.0,5.26,258.0,66.67,33.33
GTB Nagar,Ashok Park Main,3,2,1,690.0,35.66,345.0,66.67,33.33
Karol Bagh,Nirman Vihar,3,2,0,788.0,29.1,394.0,66.67,0.0
GTB Nagar,DLF Phase 3,3,2,1,1766.0,15.47,883.0,66.67,33.33
Karol Bagh,Botanical Garden,3,3,0,896.0,37.89,298.67,100.0,0.0
Karol Bagh,Mandi House,3,2,1,887.0,29.06,443.5,66.67,33.33
GTB Nagar,Faridabad Sector 15,3,1,1,179.0,24.85,231.0,33.33,33.33
Karol Bagh,Madipur,3,0,2,0.0,,,0.0,66.67
Karol Bagh,Khan Market,3,3,0,1465.0,12.98,488.33,100.0,0.0
GTB Nagar,Greater Kailash,3,2,1,751.0,30.84,375.5,66.67,33.33
Karol Bagh,Kaushambi,3,1,2,175.0,13.69,175.0,33.33,66.67
Karol Bagh,Jahangirpuri,3,3,0,639.0,27.95,213.0,100.0,0.0
Karol Bagh,INA Market,3,3,0,1175.0,7.92,391.67,100.0,0.0
Karol Bagh,Gwal Pahari,3,2,0,800.0,27.62,400.0,66.67,0.0
GTB Nagar,Gurgaon Railway Station,3,0,3,0.0,,,0.0,100.0
GTB Nagar,Gurgaon Sector 56,3,2,0,734.0,15.64,310.0,66.67,0.0
Karol Bagh,Dwarka Sector 21,3,2,1,3059.0,21.2,1529.5,66.67,33.33
Karkarduma,Indraprastha,3,1,2,309.0,38.18,309.0,33.33,66.67
Karkarduma,India Gate,3,1,2,489.0,15.46,489.0,33.33,66.67
Karkarduma,IMT Manesar,3,3,0,1245.0,40.59,415.0,100.0,0.0
Kanhaiya Nagar,Kherki Daula Toll,3,3,0,2896.0,22.29,965.33,100.0,0.0
Ghaziabad,IMT Manesar,3,1,1,373.0,14.6,373.0,33.33,33.33
Ghaziabad,India Gate,3,2,1,1263.0,22.22,631.5,66.67,33.33
Kanhaiya Nagar,Sadar Bazar Gurgaon,3,3,0,1002.0,41.76,334.0,100.0,0.0
Kanhaiya Nagar,Rohini West,3,2,1,1090.0,30.15,545.0,66.67,33.33
Kanhaiya Nagar,Punjabi Bagh,3,2,0,340.0,20.64,170.0,66.67,0.0
Kanhaiya Nagar,Pataudi Chowk,3,2,0,1498.0,18.33,567.67,66.67,0.0
Kanhaiya Nagar,Noida Sector 62,3,3,0,2574.0,14.34,858.0,100.0,0.0
Ghaziabad,Kadarpur,3,3,0,1846.0,34.98,615.33,100.0,0.0
Kanhaiya Nagar,Mehrauli,3,1,2,484.0,44.74,484.0,33.33,66.67
Kanhaiya Nagar,Meerut,3,2,1,981.0,28.9,490.5,66.67,33.33
Kanhaiya Nagar,Maidan Garhi,3,2,0,3366.0,11.88,1310.33,66.67,0.0
Ghaziabad,Kaushambi,3,2,1,1352.0,30.1,676.0,66.67,33.33
Kanhaiya Nagar,Kalkaji,3,1,2,403.0,16.06,403.0,33.33,66.67
Ghaziabad,Hero Honda Chowk,3,3,0,1756.0,24.09,585.33,100.0,0.0
Kanhaiya Nagar,Indraprastha,3,1,2,1075.0,16.32,1075.0,33.33,66.67
Ghaziabad,Narsinghpur,3,1,2,491.0,9.91,491.0,33.33,66.67
Kanhaiya Nagar,India Gate,3,0,1,0.0,,,0.0,33.33
Ghaziabad,Noida Film City,3,3,0,947.0,22.2,315.67,100.0,0.0
Kanhaiya Nagar,Huda City Centre,3,3,0,2829.0,20.56,943.0,100.0,0.0
Ghaziabad,Noida Sector 18,3,1,1,441.0,3.49,441.0,33.33,33.33
Kanhaiya Nagar,Gurgaon Sector 56,3,2,1,671.0,39.42,335.5,66.67,33.33
Kanhaiya Nagar,Gurgaon Sector 29,3,3,0,2817.0,15.23,939.0,100.0,0.0
Kanhaiya Nagar,GTB Nagar,3,3,0,1100.0,18.32,366.67,100.0,0.0
Ghaziabad,Paharganj,3,3,0,2181.0,24.98,727.0,100.0,0.0
Ghaziabad,Panipat,3,2,1,742.0,33.11,371.0,66.67,33.33
Ghaziabad,Patel Chowk,3,2,1,727.0,44.3,363.5,66.67,33.33
Kanhaiya Nagar,South Extension,3,2,1,848.0,37.8,424.0,66.67,33.33
Ghaziabad,Green Park,3,2,0,613.0,6.08,306.5,66.67,0.0
GTB Nagar,Udyog Vihar Phase 4,3,2,1,790.0,33.11,395.0,66.67,33.33
GTB Nagar,Yamuna Bank,3,2,1,521.0,22.36,260.5,66.67,33.33
Karkarduma,IFFCO Chowk,3,2,1,609.0,27.72,304.5,66.67,33.33
Karkarduma,Gwal Pahari,3,3,0,1613.0,11.34,537.67,100.0,0.0
Karkarduma,Gurgaon Sector 56,3,3,0,2210.0,33.65,736.67,100.0,0.0
GTB Nagar,Vaishali,3,3,0,1078.0,17.86,359.33,100.0,0.0
Karkarduma,Greater Noida,3,2,0,252.0,31.21,126.0,66.67,0.0
Karkarduma,Greater Kailash,3,2,1,1199.0,7.68,599.5,66.67,33.33
GTB Nagar,Vishwavidyalaya,3,3,0,1372.0,38.06,457.33,100.0,0.0
Karkarduma,Ghitorni Village,3,3,0,1382.0,22.01,460.67,100.0,0.0
GTB Nagar,Welcome,3,2,1,1057.0,32.48,528.5,66.67,33.33
Karkarduma,Ghitorni,3,2,0,779.0,14.42,422.67,66.67,0.0
Karkarduma,Faridabad Sector 15,3,2,1,1829.0,36.62,914.5,66.67,33.33
Karkarduma,Dwarka Sector 21,3,2,1,1053.0,18.54,526.5,66.67,33.33
Karkarduma,Dwarka Mor,3,2,1,1138.0,13.59,569.0,66.67,33.33
Kanhaiya Nagar,Vinobapuri,3,0,2,0.0,13.37,973.0,0.0,66.67
Karkarduma,Delhi Gate,3,1,2,2413.0,43.36,2413.0,33.33,66.67
Karkarduma,Cyber Hub,3,1,0,109.0,15.56,134.0,33.33,0.0
Karkarduma,Connaught Place,3,2,1,1036.0,21.97,518.0,66.67,33.33
Ghaziabad,Anand Vihar,3,3,0,1048.0,37.34,349.33,100.0,0.0
Ghaziabad,Chandni Chowk,3,2,1,1575.0,38.22,787.5,66.67,33.33
Karkarduma,Azadpur,3,2,1,1107.0,9.72,553.5,66.67,33.33
Karkarduma,Ashram,3,2,1,284.0,9.8,142.0,66.67,33.33
Karkarduma,Ashok Vihar,3,2,1,1294.0,22.2,647.0,66.67,33.33
Karkarduma,Ardee City,3,2,0,706.0,30.63,353.0,66.67,0.0
Ghaziabad,Cyber Hub,3,1,2,216.0,2.3,216.0,33.33,66.67
Karkarduma,Ambience Mall,3,3,0,1420.0,16.32,473.33,100.0,0.0
Ghaziabad,Golf Course Road,3,2,0,758.0,21.79,390.0,66.67,0.0
Jor Bagh,Kashmere Gate ISBT,3,3,0,1435.0,27.83,478.33,100.0,0.0
Jor Bagh,Karkarduma,3,1,1,525.0,10.19,431.5,33.33,33.33
Indraprastha,Jor Bagh,3,2,0,1747.0,27.11,687.0,66.67,0.0
Jahangirpuri,Ramesh Nagar,3,2,0,1962.0,15.14,760.0,66.67,0.0
Jama Masjid,Kadarpur,3,2,1,883.0,22.19,441.5,66.67,33.33
Jama Masjid,Jor Bagh,3,2,1,1100.0,34.63,550.0,66.67,33.33
Govindpuri,Mandi House,3,1,2,874.0,28.06,874.0,33.33,66.67
Jama Masjid,Gwal Pahari,3,2,1,362.0,23.08,181.0,66.67,33.33
Jama Masjid,Green Park,3,3,0,1213.0,22.19,404.33,100.0,0.0
Govindpuri,Mehrauli,3,2,1,364.0,14.32,182.0,66.67,33.33
Jama Masjid,Golf Course Road,3,3,0,1028.0,23.82,342.67,100.0,0.0
Govindpuri,Munirka,3,1,2,677.0,23.21,677.0,33.33,66.67
Jama Masjid,Chhatarpur,3,2,1,889.0,15.26,444.5,66.67,33.33
Jama Masjid,Central Secretariat,3,1,1,770.0,33.62,770.0,33.33,33.33
Govindpuri,New Delhi Railway Station,3,1,1,57.0,5.91,262.0,33.33,33.33
Jama Masjid,Bhikaji Cama Place,3,2,0,1902.0,27.2,951.0,66.67,0.0
Jama Masjid,Barakhamba Road,3,2,0,1526.0,21.67,763.0,66.67,0.0
Jama Masjid,Badshahpur,3,2,1,953.0,28.16,476.5,66.67,33.33
Jama Masjid,Ashram,3,2,0,297.0,29.44,148.5,66.67,0.0
Govindpuri,Okhla,3,1,2,392.0,28.38,392.0,33.33,66.67
Jama Masjid,Anand Vihar,3,1,2,639.0,25.59,639.0,33.33,66.67
Jama Masjid,Ambience Mall,3,2,1,227.0,38.72,113.5,66.67,33.33
Govindpuri,Old Gurgaon,3,2,1,1871.0,6.87,935.5,66.67,33.33
Jama Masjid,AIIMS,3,2,1,1084.0,32.68,542.0,66.67,33.33
Govindpuri,Paharganj,3,2,1,982.0,40.94,491.0,66.67,33.33
Jahangirpuri,Tilak Nagar,3,1,1,284.0,28.94,284.0,33.33,33.33
Jahangirpuri,South Extension,3,2,1,415.0,40.14,207.5,66.67,33.33
Jahangirpuri,Sonipat,3,1,2,455.0,35.64,455.0,33.33,66.67
Jahangirpuri,Sarojini Nagar,3,2,0,959.0,29.72,479.5,66.67,0.0
Govindpuri,Paschim Vihar,3,2,1,989.0,13.0,494.5,66.67,33.33
Jahangirpuri,Saidulajab,3,2,1,950.0,21.35,475.0,66.67,33.33
Jama Masjid,Kherki Daula Toll,3,2,0,1196.0,27.29,603.67,66.67,0.0
Govindpuri,Malviya Nagar,3,2,1,883.0,15.8,441.5,66.67,33.33
Govindpuri,Maidan Garhi,3,2,1,490.0,34.85,245.0,66.67,33.33
Jama Masjid,Vaishali,3,1,2,322.0,25.22,322.0,33.33,66.67
Govindpuri,Greater Kailash,3,2,1,1112.0,29.74,556.0,66.67,33.33
Janakpuri,IFFCO Chowk,3,1,0,402.0,12.6,297.0,33.33,0.0
Janakpuri,Hauz Rani,3,2,1,638.0,28.18,319.0,66.67,33.33
Govindpuri,IGI Airport,3,3,0,1730.0,36.61,576.67,100.0,0.0
Janakpuri,Gurgaon Railway Station,3,1,1,395.0,15.16,750.0,33.33,33.33
Janakpuri,Greater Noida,3,2,1,857.0,23.2,428.5,66.67,33.33
Govindpuri,INA Market,3,1,0,532.0,13.53,503.0,33.33,0.0
Janakpuri,Ghitorni Village,3,2,0,835.0,44.17,417.5,66.67,0.0
Janakpuri,Chirag Delhi,3,2,1,653.0,8.8,326.5,66.67,33.33
Janakpuri,Bahadurgarh,3,1,2,546.0,18.23,546.0,33.33,66.67
Govindpuri,Jasola,3,3,0,790.0,15.12,263.33,100.0,0.0
Jama Masjid,Vinobapuri,3,3,0,372.0,16.63,124.0,100.0,0.0
Jama Masjid,Sushant Lok,3,2,0,1127.0,28.01,563.5,66.67,0.0
Govindpuri,Khandsa,3,3,0,2362.0,34.83,787.33,100.0,0.0
Jama Masjid,Sultanpur,3,2,1,366.0,23.08,183.0,66.67,33.33
Govindpuri,Jhilmil,3,1,2,388.0,17.79,388.0,33.33,66.67
